0.,2.,1.,1.
0.2,1.6,2.,1.
0.36,1.28,3.,1.
0.488,1.024,4.,1.
0.5904,-3.1808,5.,-1.
0.27232,-2.54464,1.,-1.
0.017856,-2.035712,2.,-1.
-0.1857152,-1.6285696,3.,-1.
-0.34857216,-1.30285568,4.,-1.
-0.478857728,2.957715456,5.,1.
-0.1830861824,2.3661723648,1.,1.
0.05353105408,1.89293789184,2.,1.
0.242824843264,1.51435031347,3.,1.
0.394259874611,1.21148025078,4.,1.
0.515407899689,-3.03081579938,5.,-1.
0.212326319751,-2.4246526395,1.,-1.
-0.0301389441991,-1.9397221116,2.,-1.
-0.224111155359,-1.55177768928,3.,-1.
-0.379288924287,-1.24142215143,4.,-1.
-0.50343113943,3.00686227886,5.,1.
-0.202744911544,2.40548982309,1.,1.
0.0378040707649,1.92439185847,2.,1.
0.230243256612,1.53951348678,3.,1.
0.38419460529,1.23161078942,4.,1.
0.507355684232,-3.01471136846,5.,-1.
0.205884547385,-2.41176909477,1.,-1.
-0.0352923620918,-1.92941527582,2.,-1.
-0.228233889673,-1.54353222065,3.,-1.
-0.382587111739,-1.23482577652,4.,-1.
-0.506069689391,3.01213937878,5.,1.
-0.204855751513,2.40971150303,1.,1.
0.0361153987898,1.92776920242,2.,1.
0.228892319032,1.54221536194,3.,1.
0.383113855225,1.23377228955,4.,1.
0.50649108418,-3.01298216836,5.,-1.
0.205192867344,-2.41038573469,1.,-1.
-0.0358457061246,-1.92830858775,2.,-1.
-0.2286765649,-1.5426468702,3.,-1.
-0.38294125192,-1.23411749616,4.,-1.
-0.506353001536,3.01270600307,5.,1.
-0.205082401229,2.41016480246,1.,1.
0.0359340790171,1.92813184197,2.,1.
0.228747263214,1.54250547357,3.,1.
0.382997810571,1.23400437886,4.,1.
0.506398248457,-3.01279649691,5.,-1.
0.205118598765,-2.41023719753,1.,-1.
-0.0359051209877,-1.92818975802,2.,-1.
-0.22872409679,-1.54255180642,3.,-1.
-0.382979277432,-1.23404144514,4.,-1.
-0.506383421946,3.01276684389,5.,1.
-0.205106737557,2.41021347511,1.,1.
0.0359146099548,1.92817078009,2.,1.
0.228731687964,1.54253662407,3.,1.
0.382985350371,1.23402929926,4.,1.
0.506388280297,-3.01277656059,5.,-1.
0.205110624237,-2.41022124847,1.,-1.
-0.03591150061,-1.92817699878,2.,-1.
-0.228729200488,-1.54254159902,3.,-1.
-0.38298336039,-1.23403327922,4.,-1.
-0.506386688312,3.01277337662,5.,1.
-0.20510935065,2.4102187013,1.,1.
0.0359125194801,1.92817496104,2.,1.
0.228730015584,1.54253996883,3.,1.
0.382984012467,1.23403197507,4.,1.
0.506387209974,-3.01277441995,5.,-1.
0.205109767979,-2.41021953596,1.,-1.
-0.0359121856168,-1.92817562877,2.,-1.
