0.,2.,1.,0.,0.
0.2,2.68,0.8,0.08,-2.
0.468,2.5372,0.532,0.1332,-2.68
0.72172,1.986188,0.27828,0.161028,-2.5372
0.9203388,1.32141052,0.0796612,0.16899412,-1.986188
1.052479852,0.7194916908,-0.052479852,0.1637461348,-1.32141052
1.12442902108,0.262191035932,-0.12442902108,0.151303232692,-0.7194916908
1.15064812467,-0.0339623111557,-0.150648124673,0.136238420225,-0.262191035932
1.14725189356,-0.189971711824,-0.147251893558,0.121513230869,0.0339623111557
1.12825472238,-0.242807542031,-0.128254722375,0.108687758631,0.189971711824
1.10397396817,-0.231061345546,-0.103973968172,0.0982903618142,0.242807542031
1.08086783362,-0.187062761555,-0.0808678336175,0.0902035784524,0.231061345546
1.06216155746,-0.133867072995,-0.062161557462,0.0839874227062,0.187062761555
1.04877485016,-0.0853732991326,-0.0487748501624,0.07910993769,0.133867072995
1.04023752025,-0.0480755043996,-0.0402375202492,0.0750861856651,0.0853732991326
1.03542996981,-0.0233545031341,-0.0354299698092,0.0715431886841,0.0480755043996
