0.,2.,1.,0.,1.,0.8
0.2,2.6,0.8,-2.,0.8,0.562
0.46,2.38,0.54,-2.6,0.562,0.31778
0.698,1.794,0.302,-2.38,0.31778,0.1437682
0.8774,1.1422,0.1226,-1.794,0.1437682,0.052255058
0.99162,0.58786,0.00838,-1.1422,0.052255058,0.01636394002
1.050406,0.193118,-0.050406,-0.58786,0.01636394002,0.0063523541138
1.0697178,-0.0428766,-0.0697178,-0.193118,0.0063523541138,0.00435463933352
1.06543014,-0.15229858,-0.06543014,0.0428766,0.00435463933352,0.00344786261168
1.050200282,-0.176549854,-0.050200282,0.15229858,0.00344786261168,0.00230599036868
1.0325452966,-0.1533655202,-0.0325452966,0.176549854,0.00230599036868,0.00123698020147
1.01720874458,-0.11110024926,-0.01720874458,0.1533655202,0.00123698020147,0.000530924996843
1.00609871965,-0.067747563938,-0.006098719654,0.11110024926,0.000530924996843,0.000184046322455
0.99932396326,-0.0325217084894,0.0006760367398,0.067747563938,0.000184046322455,5.77372757829e-05
